Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,6315,6559,7082,8171,9151,8869
  └─ Sales Growth %,,3.87%,7.97%,15.39%,11.99%,-3.08%
Expenses,4887,5609,6453,6974,7706,7947
  └─ Material Cost %,32.61%,37.37%,38.17%,36.15%,35.31%,36.51%
    └─ Raw material cost,2112,2396,2635,3153,3473,3426
    └─ Change in inventory,-53,55,69,-199,-241,-188
  └─ Manufacturing Cost %,9.21%,9.62%,10.87%,10.33%,10.03%,0.00%
  └─ Employee Cost %,23.25%,24.24%,26.81%,24.87%,25.25%,27.24%
  └─ Other Cost %,12.32%,14.29%,15.27%,14.00%,13.62%,25.85%
Operating Profit,1428,950,629,1197,1445,922
OPM %,23%,14%,9%,15%,16%,10%
Other Income,230,319,272,172,208,74
  └─ Exceptional items,19,-14,-5,-59,10,-196
  └─ Other income normal,210,333,277,231,197,270
Interest,163,198,344,448,422,341
Depreciation,545,586,677,741,816,831
Profit before tax,949,485,-120,179,415,-176
Tax %,12%,22%,55%,90%,78%,85%
Net Profit,835,376,-186,18,91,-326
  └─ Exceptional items AT,17,-8,-0,2,2,-34
  └─ Profit excl Excep,818,384,-186,16,89,-292
  └─ Profit for PE,818,384,-186,16,89,-292
  └─ Profit for EPS,835,376,-186,18,91,-326
  └─ Profit Growth %,,-53%,-148%,109%,461%,-429%
EPS in Rs,,,-1.41,0.13,0.69,-2.45
Dividend Payout %,0%,18%,0%,82%,20%,0%
